aleksandr,126139
nikolaj,107848
ivan,90558
sergej,89541
vladimir,79927
mihail,67395
vasilij,65332
aleksej,58992
andrej,55285
dmitrij,51238
viktor,47988
jurij,36945
petr,36886
anatolij,34650
pavel,32373
igor',30299
evgenij,29261
oleg,26154
valerij,21805
vitalij,19880
grigorij,17751
fedor,17375
boris,17057
gennadij,16997
leonid,16729
konstantin,16723
vjacheslav,14572
georgij,11872
denis,11158
valentin,10917
maksim,10651
vadim,10171
roman,8445
il'ja,8440
ruslan,8383
stepan,6928
semen,6511
anton,6437
eduard,6085
stanislav,5910
jakov,5429
arkadij,4524
vladislav,4489
artem,3729
kirill,3720
egor,3683
artur,3632
marat,2984
al'bert,2967
lev,2924
il'dar,2728
iosif,2575
timofej,2569
rinat,2197
rustam,1994
veniamin,1869
rustem,1858
radik,1778
aleksand,1720
ramil',1645
afanasij,1609
nikita,1457
filipp,1396
efim,1373
azat,1321
timur,1310
ajrat,1307
kuz'ma,1221
petr,1146
german,1142
robert,1077
aleksanr,1006
innokentij,989
damir,979
il'shat,972
jaroslav,950
nail',936
matvej,917
salavat,848
shamil',838
ajdar,826
tihon,825
il'giz,792
gleb,764
danil,751
vsevolod,741
ravil',732
rishat,730
mitrofan,725
mark,697
gavriil,682
genrih,669
daniil,663
gavril,652
marsel',644
farit,643
rafael',633
irek,631
leontij,608
kazimir,604
azamat,597
rashit,595
cheslav,580
serafim,574
svjatoslav,564
rim,549
jan,539
il'nur,525
rostislav,522
il'dus,520
tagir,518
renat,504
anvar,489
tadeush,480
zahar,474
prokopij,463
alik,463
trofim,461
david,448
arsenij,440
nikifor,430
magomed,425
dinar,424
stefan,420
kamil',410
feliks,406
vener,406
artem,399
bulat,394
rais,390
ibragim,382
adam,380
frants,377
ninel',376
rail',366
taras,356
bronislav,355
mansur,353
al'fred,351
vatslav,349
abram,347
rafail,345
rif,342
genadij,341
fanil',340
moisej,339
vikentij,330
savelij,326
mechislav,319
fedor,318
mar'jan,312
fanis,308
il'jas,307
bogdan,304
arsentij,304
zufar,300
rashid,298
ignat,291
almaz,290
isaak,290
pantelej,287
kim,281
hamit,280
ahmet,279
valer'jan,277
abdulla,276
zinovij,268
mars,268
rafis,266
ignatij,261
ali,258
prokofij,258
illarion,256
il'mir,255
gerasim,253
hasan,249
makar,248
rudol'f,247
talgat,243
ural,243
rafik,242
el'dar,239
julij,239
irik,235
arsen,234
romual'd,231
naum,227
amir,223
dem'jan,221
rodion,221
vil',217
adol'f,213
fljur,213
akim,212
valerian,212
lazar',209
ahat,204
gurij,199
ahmed,199
emil',196
edvard,192
mahmut,192
armen,192
radmir,192
vitol'd,190
ashat,184
rustem,183
haris,182
ramazan,182
erik,182
samuil,182
ashot,180
gabdulla,180
artemij,178
lavrentij,178
rauf,178
emel'jan,173
zakir,172
afonasij,171
spartak,170
rasim,168
kasim,165
munir,165
il'fat,164
sultan,164
vladlen,163
leonard,160
arnol'd,159
ananij,158
terentij,158
midhat,156
salih,156
luka,155
boleslav,152
leon,151
vladilen,147
evstafij,147
ismagil,147
karl,146
ismail,146
islam,145
farid,144
ildar,144
hamza,142
sabir,142
gali,140
linar,139
hanif,138
sagit,137
rifkat,137
juzef,137
suren,137
ernest,135
karp,133
hajdar,133
miroslav,133
nikandr,133
fedot,132
shakir,131
galimzjan,131
sulejman,129
evdokim,128
miron,127
andrian,127
vagiz,127
samvel,127
genrik,125
zaki,125
nurulla,125
ishak,124
foma,124
garif,123
viner,123
murat,122
danis,122
solomon,121
danila,120
ruben,119
izrail',118
aron,117
spiridon,117
klavdij,117
zinur,116
arhip,116
gajaz,115
rasul,114
polikarp,114
al'fir,114
lenar,113
porfirij,112
fatyh,111
rafail',111
el'vir,110
efrem,110
platon,110
musa,109
ajnur,109
mefodij,109
mudaris,109
jusup,108
anisim,108
semen,108
fajzrahman,107
muhamet,106
akram,105
feodosij,104
tahir,104
abdul,103
iskander,103
karen,103
muhamed,102
hariton,102
husain,101
fidan,101
halil,101
fail',101
rahim,100
filjus,100
vladimr,100
il'gam,99
frol,98
gumar,98
ilshat,98
zinnur,98
mustafa,97
davyd,97
pantelejmon,97
nijaz,97
fagim,97
galim,96
vasil',96
gumer,96
rifat,96
nazar,95
karim,95
venedikt,94
malik,94
aram,93
levon,93
zagit,92
idris,92
isaj,92
nazip,92
ruzil',91
fatih,91
anas,91
evsej,91
nazir,91
usman,90
richard,90
nail,90
agzam,90
ramis,90
hakim,89
junus,89
abdulhak,89
habibulla,89
avenir,88
samat,87
rushan,86
ahnaf,86
asgat,86
halim,86
zhan,86
gaziz,86
prohor,85
julaj,85
ryshard,85
muhtar,85
nil,84
el'mir,84
salim,84
junir,83
jakub,83
zakij,83
gusman,83
masgut,82
iskandar,82
nurgali,82
gabdrahman,82
aslan,82
kamil,82
radion,81
il'fir,81
murad,81
sarkis,81
samigulla,80
abdrahman,79
mahmud,79
ahtjam,79
nester,79
al'mir,78
andrijan,78
ralif,78
flarit,78
vecheslav,77
gabdulhak,76
gabdulhaj,76
il'vir,75
alesandr,75
sharif,75
halit,74
sergei,74
nikonor,74
oskar,73
slavomir,73
ramiz,73
zajnulla,73
alekandr,73
osip,72
dmirij,72
zaur,72
fuat,72
klimentij,72
aleksandrovich,72
ljudvig,72
rafkat,71
bari,70
vladimirovich,70
gadzhi,70
adel',70
nazim,69
radij,69
kazbek,69
rafil',69
zenon,69
kiril,68
kurban,68
rifgat,68
edmund,68
mazit,67
said,67
luk'jan,67
florid,67
ramil,66
hafiz,66
avgust,66
kapiton,66
gajsa,65
gurgen,65
askar,64
tigran,64
van,64
julian,64
savva,64
akop,64
habib,64
gabbas,63
fanzil',63
fridrih,63
shavkat,63
nagim,63
vartan,63
arif,63
rem,63
vilen,63
zakarija,63
hajrulla,63
karapet,62
dimitrij,62
nurislam,62
fadej,62
sabit,62
isa,62
fanur,62
nariman,62
arutjun,62
abdulhaj,62
zdislav,62
ildus,62
kuprijan,61
svetoslav,61
jul'jan,61
hamzja,61
umar,61
izmail,61
isak,61
feofan,60
gagik,60
gafur,60
modest,60
sharifulla,60
elisej,60
sidor,59
zarif,59
alim,59
galim'jan,59
edgar,59
omar,58
mirza,58
andranik,58
irshat,58
garifulla,58
ramzil',58
rahimzjan,57
rasul',57
vali,57
raushan,57
hamid,57
faiz,57
raul',57
firdaus,57
il'sur,56
filimon,56
magsum,56
seregej,56
oganes,56
fanil,56
ernst,56
chulpan,56
agljam,55
izosim,55
ruvim,54
rizvan,54
parfirij,54
ul'fat,54
vil'dan,54
kasym,54
trifon,54
armenak,53
klim,53
javdat,53
gevorg,53
nazif,53
kondratij,53
vahtang,53
alan,53
val'demar,53
il'gizar,53
mecheslav,53
razif,52
vlas,52
zija,52
grant,52
ranis,52
galej,52
faat,52
timergali,52
nila,51
arshak,51
vissarion,51
timerhan,51
ion,51
orest,51
nurmuhamet,51
arslan,51
zagir,51
adgam,51
haim,51
bahtijar,51
juvenalij,50
ratmir,50
vagif,50
vakil',50
kajum,49
feoktist,49
nabiulla,49
vahit,49
jahija,49
ravil,49
gordej,49
zigmund,48
simon,48
ermolaj,48
hachatur,48
rafit,47
il'nar,47
baryj,47
antonij,47
kalimulla,47
andronik,47
emmanuil,47
samson,47
ippolit,47
abuzar,47
mubarak,47
gusejn,47
sait,47
kadyr,46
nafis,46
alisher,46
abdula,46
zurab,46
nikodim,46
muslim,46
edik,46
ilgiz,46
rem,46
hatmulla,46
muzagit,46
rail,46
ahmadulla,45
zabir,45
rovshan,45
galimulla,45
levan,45
aleksadr,44
sharif'jan,44
marks,44
hristofor,44
leopol'd,44
minulla,44
sabirzjan,44
gil'mutdin,44
kabir,44
shagit,43
gasan,43
nikon,43
evgraf,43
hachik,43
sabir'jan,43
janis,43
vugar,43
markel,43
miniahmet,42
mina,42
osman,42
finat,42
mamed,42
andzhej,42
gajk,42
aleksndr,42
mullanur,42
mihajl,41
nadir,41
vardan,41
sajfulla,41
mashut,41
gamlet,41
radis,41
rafgat,41
kronid,41
anis,41
fazyl,40
seregj,40
rasih,40
zul'fat,40
anrej,40
mstislav,40
magomet,40
gazinur,40
amin,40
gur'jan,40
anver,39
garik,39
fajzulla,39
varis,39
donat,39
shajhulla,39
galij,39
rajan,39
raif,39
zinfir,39
il'ham,39
farhad,39
dim,38
genij,38
vagan,38
janush,38
fidrat,38
maksut,38
aslanbek,38
garri,38
gajan,38
genrika,38
jusuf,38
fajaz,38
aleskandr,38
antonin,38
